RA,Dec,Magnitude,Bayer,Full Bayer,English Name,Flamsteed
1.2875,45.22916666666667,6.7,-,-,-,-
1.2625,-0.5030555555555556,6.29,-,-,-,-
1.3333333333333333,-5.7075000000000005,4.61,-,-,-,33-Psc
1.425,13.39611111111111,5.51,-,-,-,86-Peg
1.5666666666666669,58.43666666666666,5.96,-,-,-,-
1.579166666666667,-49.075,5.7,-,-,-,-
1.6083333333333336,64.19611111111111,5.59,-,-,-,10-Cas
1.65,29.02138888888889,6.13,-,-,-,-
1.7083333333333337,-23.1075,6.18,-,-,-,-
1.8250000000000002,-17.386388888888888,6.19,-,-,-,-
1.9333333333333331,-2.548888888888889,6.43,-,-,-,-
1.9416666666666669,-22.50888888888889,5.94,-,-,-,-
2.0124999999999997,-33.529444444444444,5.68,-,-,-,-
2.05,-2.447777777777778,6.07,-,-,-,-
2.095833333333333,29.090555555555554,2.06,α,α-And,Alpheratz,21-And
2.0708333333333333,-8.823888888888888,5.99,-,-,-,-
2.1708333333333334,36.626666666666665,6.19,-,-,-,-
2.1374999999999997,-17.5775,6.06,-,-,-,-
2.216666666666667,25.462777777777777,6.23,-,-,-,-
2.3333333333333335,79.71472222222222,6.01,-,-,-,-
2.2916666666666665,59.14972222222222,2.27,β,β-Cas,Caph,11-Cas
2.2583333333333333,18.211944444444445,5.53,-,-,-,87-Peg
2.2583333333333333,-54.00194444444445,6.33,-,-,-,-
2.3375,-27.98777777777778,5.42,κ¹,κ¹-Scl,-,-
2.3499999999999996,-45.7475,3.88,ε,ε-Phe,-,-
2.5083333333333333,11.145555555555555,5.51,-,-,-,34-Psc
2.5791666666666666,46.07222222222222,5.03,-,-,-,22-And
2.620833333333333,57.16555555555556,6.74,-,-,-,-
2.575,-5.248611111111111,5.84,-,-,-,-
2.5083333333333333,-82.2238888888889,5.28,γ³,γ³-Oct,-,-
2.675,-12.58,5.85,-,-,-,-
2.6583333333333337,-73.22444444444444,6.64,-,-,-,-
2.8125,-15.468055555555555,4.89,-,-,-,6-Cet
2.891666666666666,-27.799722222222226,5.41,κ²,κ²-Scl,-,-
2.933333333333333,-35.13305555555556,5.25,θ,θ-Scl,-,-
2.9958333333333336,48.152499999999996,6.16,-,-,-,-
3.0416666666666665,-17.938333333333333,5.25,-,-,-,-
3.2083333333333335,37.69333333333333,6.73,-,-,-,-
3.3083333333333336,15.18361111111111,2.83,γ,γ-Peg,-,88-Peg
3.3499999999999996,26.987222222222222,6.3,-,-,-,-
3.375,41.03527777777778,5.72,-,-,-,23-And
3.4250000000000003,-26.021944444444443,5.94,-,-,-,-
3.433333333333333,-26.284722222222225,6.31,-,-,-,-
3.5083333333333337,33.20611111111111,6.25,-,-,-,-
3.6500000000000004,20.206666666666667,4.8,χ,χ-Peg,-,89-Peg
3.6125000000000003,-7.780555555555556,5.12,-,-,-,-
3.3291666666666666,-84.99416666666667,5.77,-,-,-,-
3.658333333333333,-18.93277777777778,4.44,-,-,-,7-Cet
3.7333333333333334,22.284166666666668,6.24,-,-,-,-
3.7416666666666667,8.820833333333333,5.79,-,-,-,35-Psc
3.725,-9.569722222222222,5.75,-,-,-,-
3.7791666666666672,31.535833333333336,6.45,-,-,-,-
3.7916666666666665,27.283055555555556,6.35,-,-,-,-
3.7416666666666667,-34.904444444444444,6.17,-,-,-,-
4.058333333333334,76.95083333333334,6.35,-,-,-,-
4.0875,43.594722222222224,6.15,-,-,-,-
4.033333333333333,-31.44638888888889,5.67,-,-,-,-
3.9791666666666665,-75.9113888888889,6.49,-,-,-,-
4.141666666666667,8.239999999999998,6.11,-,-,-,36-Psc
4.2375,61.53333333333333,5.74,-,-,-,-
4.175,-20.210555555555555,6.47,-,-,-,-
4.2875000000000005,47.9475,5.89,-,-,-,-
4.270833333333333,38.681666666666665,4.61,θ,θ-And,-,24-And
4.204166666666667,-78.78055555555555,6.77,-,-,-,-
4.429166666666666,51.433055555555555,6.14,-,-,-,-
4.383333333333333,-19.051111111111112,6.45,-,-,-,-
4.445833333333333,1.6888888888888889,6.17,-,-,-,-
4.579166666666667,36.78527777777778,4.52,σ,σ-And,-,25-And
4.570833333333334,11.205833333333333,6.05,-,-,-,-
4.675,43.79111111111111,6.11,-,-,-,26-And
4.658333333333333,31.51722222222222,5.87,-,-,-,-
4.670833333333333,-8.052777777777779,6.46,-,-,-,-
4.675,-43.23527777777778,6.33,-,-,-,-
4.854166666666666,-8.823888888888888,3.56,ι,ι-Cet,-,8-Cet
4.920833333333333,40.72972222222222,6.33,-,-,-,-
5.020833333333333,48.86527777777778,6.52,-,-,-,-
5.016666666666667,-64.87472222222222,4.23,ζ,ζ-Tuc,-,-
5.1,30.935833333333335,5.9,-,-,-,-
5.1875,32.91138888888889,5.79,-,-,-,-
